code,label
class Solution {   public boolean isOneBitCharacter(int[] bits) {     int idx = 0;     while (idx < bits.length - 1) {       if (bits[idx] != 0) {         idx++;       }       idx++;     }     return idx == bits.length - 1;   }  } ,O(n)
class Solution {   public boolean isSameAfterReversals(int num) {     if (num <= 9) {       return true;     }     if (num % 10 == 0) {       return false;     }     return true;   } } ,O(1)
class Solution {     public int accountBalanceAfterPurchase(int purchaseAmount) {         if (purchaseAmount % 10 >= 5) {             purchaseAmount += 10 - purchaseAmount % 10;         } else {             purchaseAmount -= purchaseAmount % 10;         }         return 100 - purchaseAmount;     } } ,O(1)
"class Solution {   public String addBinary(String a, String b) {     StringBuilder sb = new StringBuilder();     int endIdxA = a.length() - 1;     int endIdxB = b.length() - 1;     int carry = 0;     while (endIdxA >= 0 || endIdxB >= 0 || carry > 0) {       int value = carry;       if (endIdxA >= 0) {         value += Character.getNumericValue(a.charAt(endIdxA--));       }       if (endIdxB >= 0) {         value += Character.getNumericValue(b.charAt(endIdxB--));       }       sb.append(value % 2);       carry = value / 2;     }     return sb.reverse().toString();   } } ",O(n)
class Solution {   public int addDigits(int num) {     if (num / 10 == 0) {       return num;     }     int digitSum = 0;     while (num > 0) {       digitSum += num % 10;       num /= 10;     }     return addDigits(digitSum);   } } ,O(n)
"class Solution {   public String addStrings(String num1, String num2) {     int carry = 0;     StringBuilder sb = new StringBuilder();     int idxOne = num1.length() - 1;     int idxTwo = num2.length() - 1;     while (idxOne >= 0 || idxTwo >= 0 || carry > 0) {       if (idxOne >= 0 && idxTwo >= 0) {         carry += Character.getNumericValue(num1.charAt(idxOne--)) + Character.getNumericValue(num2.charAt(idxTwo--));       } else if (idxOne >= 0 && idxTwo < 0) {         carry += Character.getNumericValue(num1.charAt(idxOne--));       } else if (idxOne < 0 && idxTwo >= 0) {         carry += Character.getNumericValue(num2.charAt(idxTwo--));       }       sb.append(carry % 10);       carry = carry > 9 ? carry / 10 : 0;     }     return sb.reverse().toString();   } } ",O(n)
"class Solution {     public List<Integer> addToArrayForm(int[] num, int k) {         List<Integer> result = new ArrayList<>();         int idx = num.length - 1;         int carry = 0;         while (idx >= 0 || k > 0 || carry > 0) {             if (idx >= 0 && k > 0) {                 carry += num[idx--] + k % 10;                 k /= 10;             } else if (idx >= 0 && k == 0) {                 carry += num[idx--];             } else if (idx < 0 && k > 0) {                 carry += k % 10;                 k /= 10;             }             result.add(carry % 10);             carry /= 10;         }         Collections.reverse(result);         return result;     } } ",O(n^2)
"class Solution {     public boolean hasIncreasingSubarrays(List<Integer> nums, int k) {         int n = nums.size();         for (int i = 0; i <= n - 2 * k; i++) {             if (isStrictlyIncreasing(nums, i, k) && isStrictlyIncreasing(nums, i + k, k)) {                 return true;             }         }         return false;     }      private boolean isStrictlyIncreasing(List<Integer> nums, int idx, int k) {         for (int start = idx; start < idx + k - 1; start++) {             if (nums.get(start) >= nums.get(start + 1)) {                 return false;             }         }         return true;     } } ",O(n^2)
class Solution {     public int alternateDigitSum(int n) {         int firstHalf = 0;         int secondHalf = 0;         int count = 0;         while (n > 0) {             secondHalf += n % 10;             n /= 10;             count++;             if (n > 0) {                 firstHalf += n % 10;                 n /= 10;                 count++;             }         }         return count % 2 == 0 ? (firstHalf + -1 * secondHalf) : (secondHalf + -1 * firstHalf);     } } ,O(n)
class Solution {     public int numberOfAlternatingGroups(int[] colors) {         int count = 0;         int n = colors.length;         for (int i = 0; i < n - 2; i++) {             if (colors[i + 1]  != colors[i] && colors[i + 1] != colors[i + 2]) {                 count++;             }         }         if (colors[n - 2] != colors[n - 1] && colors[n - 2] == colors[0]) {             count++;         }         if (colors[n - 1] != colors[0] && colors[n - 1] == colors[1]) {             count++;         }         return count;     } } ,O(n)
